Total running time: 35620.84629
         18576279993 function calls (18576029687 primitive calls) in 35620.978 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000    0.074    0.000    0.074    0.000 {cplex._internal.py27_cplex1270.CPXXcreateprob}
    40000    0.074    0.000    0.153    0.000 __init__.py:378(_apienc)
    10000    0.071    0.000    0.071    0.000 {cplex._internal.py27_cplex1270.new_CPXLPptrPtr}
    10000    0.071    0.000    0.140    0.000 _pycplex.py:1633(__init__)
    10000    0.066    0.000    1.290    0.000 _parameter_classes.py:275(_override_defaults)
    10001    0.065    0.000  138.887    0.014 _parameter_classes.py:245(__init__)
    10000    0.064    0.000    2.667    0.000 _parameter_hierarchy.py:50(benders_members)
    10000    0.061    0.000    3.032    0.000 _parameter_hierarchy.py:79(emphasis_members)
    40000    0.061    0.000    0.079    0.000 _parameter_classes.py:62(get)
    10000    0.060    0.000    0.060    0.000 {cplex._internal.py27_cplex1270.CPXXchgobjsen}
    20000    0.060    0.000    0.126    0.000 _procedural.py:324(setintparam)
    20000    0.060    0.000    0.202    0.000 _procedural.py:336(setstrparam)
    10000    0.059    0.000    1.131    0.000 _parameter_hierarchy.py:43(benders_tolerances_members)
    40001    0.058    0.000    0.156    0.000 _procedural.py:649(getnumcols)
    10000    0.055    0.000    2.831    0.000 _parameter_hierarchy.py:65(distmip_rampup_members)
    10000    0.053    0.000    2.237    0.000 _parameter_hierarchy.py:251(sifting_members)
    10000    0.052    0.000    1.586    0.000 _subinterfaces.py:7719(getslack)
    10000    0.051    0.000    2.511    0.000 _parameter_hierarchy.py:276(simplex_tolerances_members)
   320000    0.050    0.000    0.050    0.000 _pycplex.py:1662(<lambda>)
    10000    0.049    0.000   13.593    0.001 __init__.py:783(__del__)
    10000    0.048    0.000    1.451    0.000 _parameter_hierarchy.py:58(conflict_members)
    10000    0.048    0.000    0.091    0.000 _subinterfaces.py:380(_setup)
    50000    0.047    0.000    0.047    0.000 contextlib.py:12(__init__)
    10000    0.046    0.000    2.197    0.000 _parameter_hierarchy.py:87(feasopt_members)
    10000    0.043    0.000    0.138    0.000 _procedural.py:1403(chgobjsen)
    10000    0.042    0.000    0.097    0.000 _subinterfaces.py:6279(_setup)
    10000    0.042    0.000    3.121    0.000 _parameter_hierarchy.py:269(simplex_perturbation_members)
    10000    0.040    0.000    0.289    0.000 _parameter_classes.py:47(set)
        1    0.038    0.038    0.038    0.038 {method 'read' of 'file' objects}
    30000    0.037    0.000    0.037    0.000 {method 'startswith' of 'str' objects}
    10000    0.031    0.000    0.101    0.000 __init__.py:1036(_is_MIP)
    10000    0.030    0.000    0.030    0.000 {cplex._internal.py27_cplex1270.CPXLPptrPtr_assign}
    10001    0.029    0.000    0.091    0.000 _pycplex.py:1703(<lambda>)
    10000    0.029    0.000    2.894    0.000 _parameter_hierarchy.py:73(distmip_members)
    10000    0.028    0.000    4.803    0.000 _subinterfaces.py:480(add)
    20000    0.028    0.000    0.028    0.000 {cplex._internal.py27_cplex1270.CPXXsetintparam}
    30005    0.028    0.000    0.028    0.000 {max}
    10000    0.028    0.000    0.028    0.000 {cplex._internal.py27_cplex1270.CPXXgetnumint}
    10000    0.027    0.000 14852.517    1.485 _subinterfaces.py:1273(add)
    10000    0.027    0.000    0.027    0.000 {cplex._internal.py27_cplex1270.CPXEhasvmconfig}
    40000    0.026    0.000    0.036    0.000 _ostream.py:90(__del__)
    10000    0.025    0.000    1.929    0.000 __init__.py:252(set_results_stream)
    10000    0.024    0.000 13929.147    1.393 _procedural.py:147(Pylolmat_to_CHBmat)
    10000    0.023    0.000    0.161    0.000 _subinterfaces.py:3977(set_sense)
    10000    0.023    0.000    0.041    0.000 _subinterfaces.py:5179(_setup)
    10000    0.023    0.000    0.023    0.000 _parameter_classes.py:252(_get_overrides)
    10000    0.023    0.000    0.023    0.000 {cplex._internal.py27_cplex1270.setpyterminate}
     9999    0.022    0.000    0.038    0.000 _procedural.py:135(unset_py_terminator)
    10000    0.022    0.000    0.037    0.000 _anno.py:79(_setup)
    10000    0.022    0.000    0.052    0.000 _pycplex.py:1615(assign)
    10000    0.021    0.000    0.049    0.000 _procedural.py:652(getnumint)
    10000    0.021    0.000    2.918    0.000 _procedural.py:150(free_CHBmat)
    10000    0.021    0.000    0.069    0.000 _subinterfaces.py:401(get_num_integer)
     9999    0.020    0.000    0.020    0.000 errors.py:30(__str__)
    10001    0.020    0.000    0.093    0.000 _pycplex.py:1701(<lambda>)
    10000    0.020    0.000    0.033    0.000 _pwl.py:34(_setup)
    10000    0.020    0.000    0.081    0.000 _pycplex.py:1607(<lambda>)
    40001    0.018    0.000    0.018    0.000 {hasattr}
    10000    0.018    0.000    0.034    0.000 _procedural.py:2872(finitlock)
    10000    0.018    0.000    0.032    0.000 _subinterfaces.py:1965(_setup)
    10000    0.017    0.000    0.034    0.000 _subinterfaces.py:3344(_setup)
    10000    0.017    0.000    0.017    0.000 {cplex._internal.py27_cplex1270.pack_env_lp_ptr}
    10001    0.017    0.000    0.017    0.000 _procedural.py:105(_rangelen)
    10000    0.016    0.000    0.075    0.000 _pycplex.py:1605(<lambda>)
    10000    0.016    0.000    0.016    0.000 {cplex._internal.py27_cplex1270.finit_callback_lock}
    10000    0.016    0.000    0.033    0.000 _subinterfaces.py:2460(_setup)
     9999    0.016    0.000    0.016    0.000 {cplex._internal.py27_cplex1270.unset_py_terminator}
    10000    0.015    0.000    0.026    0.000 _anno.py:347(_setup)
    10000    0.015    0.000    0.780    0.000 __init__.py:294(set_error_stream)
    10000    0.015    0.000    0.030    0.000 _subinterfaces.py:3002(_setup)
    10000    0.015    0.000    0.795    0.000 __init__.py:273(set_warning_stream)
    10000    0.015    0.000    0.033    0.000 _procedural.py:42(cpx_decode_noop3)
    10000    0.015    0.000    0.037    0.000 _procedural.py:2604(setpyterminate)
    10000    0.014    0.000    0.014    0.000 {method 'keys' of 'dict' objects}
    10000    0.014    0.000    0.031    0.000 _procedural.py:144(pack_env_lp_ptr)
    10000    0.014    0.000    0.027    0.000 _pycplex.py:1639(assign)
        1    0.014    0.014    0.110    0.110 __init__.py:15(<module>)
    80000    0.014    0.000    0.014    0.000 {callable}
    20000    0.014    0.000    0.014    0.000 {method 'find' of 'str' objects}
    10000    0.014    0.000    0.014    0.000 {cplex._internal.py27_cplex1270.init_callback_lock}
    10000    0.014    0.000    0.769    0.000 __init__.py:315(set_log_stream)
        1    0.013    0.013    0.059    0.059 _pycplex_platform.py:11(<module>)
    10000    0.013    0.000    0.013    0.000 {cplex._internal.py27_cplex1270.CPXENVptrPtr_assign}
    10000    0.013    0.000    0.013    0.000 {method 'strip' of 'str' objects}
    20000    0.013    0.000    0.013    0.000 {method 'lower' of 'str' objects}
    10000    0.013    0.000    0.020    0.000 _procedural.py:228(set_status_checker)
    10000    0.013    0.000    0.029    0.000 _subinterfaces.py:8795(_setup)
        1    0.011    0.011    0.011    0.011 hashlib.py:55(<module>)
    10000    0.011    0.000    0.011    0.000 {cplex._internal.py27_cplex1270.new_CPXENVptrPtr}
    10000    0.011    0.000    0.014    0.000 __init__.py:140(__del__)
    10000    0.011    0.000    0.025    0.000 _procedural.py:2869(initlock)
    10000    0.009    0.000    0.028    0.000 _pycplex.py:1631(<lambda>)
    20000    0.009    0.000    0.009    0.000 _parameter_classes.py:93(type)
    10000    0.009    0.000    0.030    0.000 _pycplex.py:1629(<lambda>)
        1    0.009    0.009 35620.978 35620.978 handle_to_teeth7.py:1(<module>)
    10000    0.007    0.000    0.007    0.000 {cplex._internal.py27_cplex1270.set_status_checker}
        2    0.006    0.003    0.015    0.007 _list_array_utils.py:64(array_to_list)
    10001    0.006    0.000    0.006    0.000 _pycplex.py:1710(<lambda>)
        1    0.005    0.005    0.005    0.005 timeit.py:53(<module>)
        1    0.005    0.005    0.010    0.010 cutpool.py:1(<module>)
